Id_Athlete,Athlete,Gender,Medal
1,"HAJOS, Alfred",Men,Gold
2,"HERSCHMANN, Otto",Men,Silver
3,"DRIVAS, Dimitrios",Men,Bronze
4,"MALOKINIS, Ioannis",Men,Gold
5,"CHASAPIS, Spiridon",Men,Silver
,"CHOROPHAS, Efstathios",Men,Bronze
,"HAJOS, Alfred",Men,Gold
,"ANDREOU, Joannis",Men,Silver
,"CHOROPHAS, Efstathios",Men,Bronze
,"NEUMANN, Paul",Men,Gold
,"PEPANOS, Antonios",Men,Silver
,"LANE, Francis",Men,Bronze
,"SZOKOLYI, Alajos",Men,Bronze
,"BURKE, Thomas",Men,Gold
,"HOFMANN, Fritz",Men,Silver
,"CURTIS, Thomas",Men,Gold
,"GOULDING, Grantley",Men,Silver
,"LERMUSIAUX, Albin",Men,Bronze
,"FLACK, Edwin",Men,Gold
,"BLAKE, Arthur",Men,Silver
,"GMELIN, Charles",Men,Bronze
,"BURKE, Thomas",Men,Gold
,"JAMISON, Herbert",Men,Silver
,"GOLEMIS, Dimitrios",Men,Bronze
,"FLACK, Edwin",Men,Gold
,"DANI, Nandor",Men,Silver
,"VERSIS, Sotirios",Men,Bronze
,"GARRETT, Robert",Men,Gold
,"PARASKEVOPOULOS, Panagiotis",Men,Silver
,"CLARK, Ellery",Men,Gold
,"CONNOLLY, James",Men,Silver
,"GARRETT, Robert",Men,Silver
,"CONNOLLY, James",Men,Bronze
,"CLARK, Ellery",Men,Gold
,"GARRETT, Robert",Men,Silver
,"KELLNER, Gyula",Men,Bronze
,"LOUIS, Spyridon",Men,Gold
,"VASILAKOS, Kharilaos",Men,Silver
,"DAMASKOS, Evangelos",Men,Bronze
,"THEODOROPOULOS, Ioannis",Men,Bronze
,"HOYT, William Welles",Men,Gold
,"TYLER, Albert",Men,Silver
,"PAPASIDERIS, Georgios",Men,Bronze
,"GARRETT, Robert",Men,Gold
,"GOUSKOS, Miltiadis",Men,Silver
,"PERSAKIS, Ioannis",Men,Bronze
,"CONNOLLY, James",Men,Gold
,"TUFFERI, Alexandre",Men,Silver
,"BATTEL, Edward",Men,Bronze
,"KONSTANTINIDIS, Aristidis",Men,Gold
,"GOEDRICH, August",Men,Silver
,"FLAMENG, Léon",Men,Gold
,"KOLETTIS, Georgios",Men,Silver
,"SCHMAL, Adolf",Men,Bronze
,"MASSON, Paul",Men,Gold
,"FLAMENG, Léon",Men,Silver
,"SCHMAL, Adolf",Men,Gold
,"KEEPING, Frank",Men,Silver
,"SCHMAL, Adolf",Men,Bronze
,"MASSON, Paul",Men,Gold
,"NIKOLOPOULOS, Stamatios",Men,Silver
,"FLAMENG, Léon",Men,Bronze
,"MASSON, Paul",Men,Gold
,"NIKOLOPOULOS, Stamatios",Men,Silver
,"PIERRAKOS-MAVROMICHALIS, Perikles",Men,Bronze
,"GRAVELOTTE, Eugène-Henri",Men,Gold
,"CALLOT, Henri",Men,Silver
,"PYRGOS, Leonidas",Men,Gold
,"PERRONNET, Maurice",Men,Silver
,"NIELSEN, Holger",Men,Bronze
,"GEORGIADIS, Ioannis",Men,Gold
,"KARAKALOS, Telemachos",Men,Silver
,"WEINGÄRTNER, Hermann",Men,Gold
,"FLATOW, Alfred",Men,Silver
,"FLATOW, Alfred",Men,Gold
,"ZUTTER, Louis",Men,Silver
,"ZUTTER, Louis",Men,Gold
,"WEINGÄRTNER, Hermann",Men,Silver
,"PERSAKIS, Petros",Men,Bronze
,"MITROPOULOS, Ioannis",Men,Gold
,"WEINGÄRTNER, Hermann",Men,Silver
,"HOFMANN, Fritz",Men,Bronze
,"ANDRIAKOPOULOS, Nicolaos",Men,Gold
,"XENAKIS, Thomasios",Men,Silver
,"BÖCKER, Konrad",Men,Gold
,"FLATOW, Alfred",Men,Gold
,"FLATOW, Gustav Felix",Men,Gold
,"HILMAR, Georg",Men,Gold
,"HOFMANN, Fritz",Men,Gold
,"MANTEUFFEL, Fritz",Men,Gold
,"NEUKIRCH, Karl",Men,Gold
,"RÖSTEL, Richard",Men,Gold
,"SCHUFT, Gustav",Men,Gold
,"SCHUMANN, Carl",Men,Gold
,"WEINGÄRTNER, Hermann",Men,Gold
,"CHRYSAPHIS, Ioannis",Men,Bronze
,"KARVELAS, Phillippos",Men,Bronze
,"LOUNDRAS, Dimitrios",Men,Bronze
,"MITROPOULOS, Ioannis",Men,Bronze
,"BÖCKER, Konrad",Men,Gold
,"FLATOW, Alfred",Men,Gold
,"FLATOW, Gustav Felix",Men,Gold
,"HILMAR, Georg",Men,Gold
,"HOFMANN, Fritz",Men,Gold
,"MANTEUFFEL, Fritz",Men,Gold
,"NEUKIRCH, Karl",Men,Gold
,"RÖSTEL, Richard",Men,Gold
,"SCHUFT, Gustav",Men,Gold
,"SCHUMANN, Carl",Men,Gold
,"WEINGÄRTNER, Hermann",Men,Gold
,"ANDRIAKOPOULOS, Nicolaos",Men,Silver
,"ATHANASOPOULOS, Spyros",Men,Silver
,"PERSAKIS, Petros",Men,Silver
,"XENAKIS, Thomasios",Men,Silver
,"WEINGÄRTNER, Hermann",Men,Bronze
,"SCHUMANN, Carl",Men,Gold
,"ZUTTER, Louis",Men,Silver
,"MORAKIS, Nikolaos",Men,Bronze
,"PAINE, John",Men,Gold
,"PAINE, Sumner",Men,Silver
,"NIELSEN, Holger",Men,Bronze
,"PHRANGOUDIS, Joannis",Men,Gold
,"ORPHANIDIS, Georgios",Men,Silver
,"PHRANGOUDIS, Joannis",Men,Bronze
,"PAINE, Sumner",Men,Gold
,"NIELSEN, Holger",Men,Silver
,"TRIKUPIS, Nicolaos",Men,Bronze
,"KARASEVDAS, Pantelis",Men,Gold
,"PAVLIDIS, Pavlos",Men,Silver
,"JENSEN, Viggo",Men,Bronze
,"ORPHANIDIS, Georgios",Men,Gold
,"PHRANGOUDIS, Joannis",Men,Silver
,"FLACK, Edwin",Men,Bronze
,"ROBERTSON, George Stuart",Men,Bronze
,"BOLAND, John",Men,Gold
,"TRAUN, Friedrich",Men,Gold
,"KASDAGLIS, Dionysios",Men,Silver
,"PETROKOKKINOS, Demetrios",Men,Silver
,"PASPATIS, Konstantinos",Men,Bronze
,"TAPAVICZA, Momcsillo",Men,Bronze
,"BOLAND, John",Men,Gold
,"KASDAGLIS, Dionysios",Men,Silver
,"NIKOLOPOULOS, Alexandros",Men,Bronze
,"ELLIOTT, Launceston",Men,Gold
,"JENSEN, Viggo",Men,Silver
,"VERSIS, Sotirios",Men,Bronze
,"JENSEN, Viggo",Men,Gold
,"ELLIOTT, Launceston",Men,Silver
,"CHRISTOPOULOS, Stephanos",Men,Bronze
,"SCHUMANN, Carl",Men,Gold
,"TSITAS, Georgios",Men,Silver
,"HALMAY, Zoltan",Men,Bronze
,"JARVIS, John Arthur",Men,Gold
,"WAHLE, Otto",Men,Silver
,"DROST, Johannes",Men,Bronze
,"HOPPENBERG, Ernst",Men,Gold
,"RUBERL, Karl",Men,Silver
,"RUBERL, Karl",Men,Bronze
,"LANE, Frederick C.V.",Men,Gold
