NOME;PAIS_ORIGEM;GENERO;PREPARADOR FISICO;TECNICO;;;;;;;
HAJOS, Alfred;HUN;Men;;;;;;;;;
HERSCHMANN, Otto;AUT;Men;;;;;;;;;
DRIVAS, Dimitrios;GRE;Men;;;;;;;;;
MALOKINIS, Ioannis;GRE;Men;;;;;;;;;
CHASAPIS, Spiridon;GRE;Men;;;;;;;;;
CHOROPHAS, Efstathios;GRE;Men;;;;;;;;;
ANDREOU, Joannis;GRE;Men;;;;;;;;;
NEUMANN, Paul;AUT;Men;;;;;;;;;
PEPANOS, Antonios;GRE;Men;;;;;;;;;
LANE, Francis;USA;Men;;;;;;;;;
SZOKOLYI, Alajos;HUN;Men;;;;;;;;;
BURKE, Thomas;USA;Men;;;;;;;;;
HOFMANN, Fritz;GER;Men;;;;;;;;;
CURTIS, Thomas;USA;Men;;;;;;;;;
GOULDING, Grantley;GBR;Men;;;;;;;;;
LERMUSIAUX, Albin;FRA;Men;;;;;;;;;
FLACK, Edwin;AUS;Men;;;;;;;;;
BLAKE, Arthur;USA;Men;;;;;;;;;
GMELIN, Charles;GBR;Men;;;;;;;;;
JAMISON, Herbert;USA;Men;;;;;;;;;
GOLEMIS, Dimitrios;GRE;Men;;;;;;;;;
DANI, Nandor;HUN;Men;;;;;;;;;
VERSIS, Sotirios;GRE;Men;;;;;;;;;
GARRETT, Robert;USA;Men;;;;;;;;;
PARASKEVOPOULOS, Panagiotis;GRE;Men;;;;;;;;;
CLARK, Ellery;USA;Men;;;;;;;;;
CONNOLLY, James;USA;Men;;;;;;;;;
KELLNER, Gyula;HUN;Men;;;;;;;;;
LOUIS, Spyridon;GRE;Men;;;;;;;;;
VASILAKOS, Kharilaos;GRE;Men;;;;;;;;;
DAMASKOS, Evangelos;GRE;Men;;;;;;;;;
THEODOROPOULOS, Ioannis;GRE;Men;;;;;;;;;
HOYT, William Welles;USA;Men;;;;;;;;;
TYLER, Albert;USA;Men;;;;;;;;;
PAPASIDERIS, Georgios;GRE;Men;;;;;;;;;
GOUSKOS, Miltiadis;GRE;Men;;;;;;;;;
PERSAKIS, Ioannis;GRE;Men;;;;;;;;;
TUFFERI, Alexandre;FRA;Men;;;;;;;;;
BATTEL, Edward;GBR;Men;;;;;;;;;
KONSTANTINIDIS, Aristidis;GRE;Men;;;;;;;;;
GOEDRICH, August;GER;Men;;;;;;;;;
FLAMENG, L??on;FRA;Men;;;;;;;;;
KOLETTIS, Georgios;GRE;Men;;;;;;;;;
SCHMAL, Adolf;AUT;Men;;;;;;;;;
MASSON, Paul;FRA;Men;;;;;;;;;
KEEPING, Frank;GBR;Men;;;;;;;;;
NIKOLOPOULOS, Stamatios;GRE;Men;;;;;;;;;
PIERRAKOS-MAVROMICHALIS, Perikles;GRE;Men;;;;;;;;;
GRAVELOTTE, Eug??ne-Henri;FRA;Men;;;;;;;;;
CALLOT, Henri;FRA;Men;;;;;;;;;
PYRGOS, Leonidas;GRE;Men;;;;;;;;;
PERRONNET, Maurice;FRA;Men;;;;;;;;;
NIELSEN, Holger;DEN;Men;;;;;;;;;
GEORGIADIS, Ioannis;GRE;Men;;;;;;;;;
KARAKALOS, Telemachos;GRE;Men;;;;;;;;;
WEINGÄRTNER, Hermann;GER;Men;;;;;;;;;
FLATOW, Alfred;GER;Men;;;;;;;;;
ZUTTER, Louis;SUI;Men;;;;;;;;;
PERSAKIS, Petros;GRE;Men;;;;;;;;;
MITROPOULOS, Ioannis;GRE;Men;;;;;;;;;
ANDRIAKOPOULOS, Nicolaos;GRE;Men;;;;;;;;;
XENAKIS, Thomasios;GRE;Men;;;;;;;;;
BÖCKER, Konrad;GER;Men;;;;;;;;;
FLATOW, Gustav Felix;GER;Men;;;;;;;;;
HILMAR, Georg;GER;Men;;;;;;;;;
MANTEUFFEL, Fritz;GER;Men;;;;;;;;;
NEUKIRCH, Karl;GER;Men;;;;;;;;;
RÖSTEL, Richard;GER;Men;;;;;;;;;
SCHUFT, Gustav;GER;Men;;;;;;;;;
SCHUMANN, Carl;GER;Men;;;;;;;;;
CHRYSAPHIS, Ioannis;GRE;Men;;;;;;;;;
KARVELAS, Phillippos;GRE;Men;;;;;;;;;
