NOMEATLETA;NOMEESPORTE;MODALIDADE;MEDALHA
HAJOS, Alfred;Swimming;100M Freestyle;Gold
HERSCHMANN, Otto;Swimming;100M Freestyle;Silver
DRIVAS, Dimitrios;Swimming;100M Freestyle For Sailors;Bronze
MALOKINIS, Ioannis;Swimming;100M Freestyle For Sailors;Gold
CHASAPIS, Spiridon;Swimming;100M Freestyle For Sailors;Silver
CHOROPHAS, Efstathios;Swimming;1200M Freestyle;Bronze
HAJOS, Alfred;Swimming;1200M Freestyle;Gold
ANDREOU, Joannis;Swimming;1200M Freestyle;Silver
CHOROPHAS, Efstathios;Swimming;400M Freestyle;Bronze
NEUMANN, Paul;Swimming;400M Freestyle;Gold
PEPANOS, Antonios;Swimming;400M Freestyle;Silver
LANE, Francis;Athletics;100M;Bronze
SZOKOLYI, Alajos;Athletics;100M;Bronze
BURKE, Thomas;Athletics;100M;Gold
HOFMANN, Fritz;Athletics;100M;Silver
CURTIS, Thomas;Athletics;110M Hurdles;Gold
GOULDING, Grantley;Athletics;110M Hurdles;Silver
LERMUSIAUX, Albin;Athletics;1500M;Bronze
FLACK, Edwin;Athletics;1500M;Gold
BLAKE, Arthur;Athletics;1500M;Silver
GMELIN, Charles;Athletics;400M;Bronze
BURKE, Thomas;Athletics;400M;Gold
JAMISON, Herbert;Athletics;400M;Silver
GOLEMIS, Dimitrios;Athletics;800M;Bronze
FLACK, Edwin;Athletics;800M;Gold
DANI, Nandor;Athletics;800M;Silver
VERSIS, Sotirios;Athletics;Discus Throw;Bronze
GARRETT, Robert;Athletics;Discus Throw;Gold
PARASKEVOPOULOS, Panagiotis;Athletics;Discus Throw;Silver
CLARK, Ellery;Athletics;High Jump;Gold
CONNOLLY, James;Athletics;High Jump;Silver
GARRETT, Robert;Athletics;High Jump;Silver
CONNOLLY, James;Athletics;Long Jump;Bronze
CLARK, Ellery;Athletics;Long Jump;Gold
GARRETT, Robert;Athletics;Long Jump;Silver
KELLNER, Gyula;Athletics;Marathon;Bronze
LOUIS, Spyridon;Athletics;Marathon;Gold
VASILAKOS, Kharilaos;Athletics;Marathon;Silver
DAMASKOS, Evangelos;Athletics;Pole Vault;Bronze
THEODOROPOULOS, Ioannis;Athletics;Pole Vault;Bronze
HOYT, William Welles;Athletics;Pole Vault;Gold
TYLER, Albert;Athletics;Pole Vault;Silver
PAPASIDERIS, Georgios;Athletics;Shot Put;Bronze
GARRETT, Robert;Athletics;Shot Put;Gold
GOUSKOS, Miltiadis;Athletics;Shot Put;Silver
PERSAKIS, Ioannis;Athletics;Triple Jump;Bronze
CONNOLLY, James;Athletics;Triple Jump;Gold
TUFFERI, Alexandre;Athletics;Triple Jump;Silver
BATTEL, Edward;Cycling Road;Individual Road Race;Bronze
KONSTANTINIDIS, Aristidis;Cycling Road;Individual Road Race;Gold
GOEDRICH, August;Cycling Road;Individual Road Race;Silver
FLAMENG, L??on;Cycling Track;100KM;Gold
KOLETTIS, Georgios;Cycling Track;100KM;Silver
SCHMAL, Adolf;Cycling Track;10KM;Bronze
MASSON, Paul;Cycling Track;10KM;Gold
FLAMENG, L??on;Cycling Track;10KM;Silver
SCHMAL, Adolf;Cycling Track;12-Hour Race;Gold
KEEPING, Frank;Cycling Track;12-Hour Race;Silver
SCHMAL, Adolf;Cycling Track;1KM Time Trial;Bronze
MASSON, Paul;Cycling Track;1KM Time Trial;Gold
NIKOLOPOULOS, Stamatios;Cycling Track;1KM Time Trial;Silver
FLAMENG, L??on;Cycling Track;Sprint Indivual;Bronze
MASSON, Paul;Cycling Track;Sprint Indivual;Gold
NIKOLOPOULOS, Stamatios;Cycling Track;Sprint Indivual;Silver
