ANO,SEDE,TIPO
1896,Athens,Summer
1900,Paris,Summer
1904,St Louis,Summer
1908,London,Summer
1912,Stockholm,Summer
1920,Antwerp,Summer
1924,Paris,Summer
1928,Amsterdam,Summer
1932,Los Angeles,Summer
1936,Berlin,Summer
1948,London,Summer
1952,Helsinki,Summer
1956,Melbourne and Stockholm,Summer
1960,Rome,Summer
1964,Tokyo,Summer
1968,Mexico,Summer
1972,Munich,Summer
1976,Montreal,Summer
1980,Moscow,Summer
1984,Los Angeles,Summer
1988,Seoul,Summer
1992,Barcelona,Summer
1996,Atlanta,Summer
2000,Sydney,Summer
2004,Athens,Summer
2008,Beijing,Summer
2012,London,Summer
1924,Chamonix,Winter
1928,St.Moritz,Winter
1932,Lake Placid,Winter
1936,Garmisch Partenkirchen,Winter
1948,St.Moritz,Winter
1952,Oslo,Winter
1956,Cortina d'Ampezzo,Winter
1960,Squaw Valley,Winter
1964,Innsbruck,Winter
1968,Grenoble,Winter
1972,Sapporo,Winter
1976,Innsbruck,Winter
1980, Lake Placid,Winter
1984,Sarajevo,Winter
1988,Calgary,Winter
1992,Albertville,Winter
1994,Lillehammer,Winter
1998,Nagano,Winter
2002,Salt Lake City,Winter
2006,Turin,Winter
2010,Vancouver,Winter
2014,Sochi,Winter
