ANOOLIMP;NOMEESPORTE;MODALIDADE;TIPOOLIMP
1896;Swimming;100M Freestyle;Summer
1896;Swimming;100M Freestyle For Sailors;Summer
1896;Swimming;1200M Freestyle;Summer
1896;Swimming;400M Freestyle;Summer
1896;Athletics;100M;Summer
1896;Athletics;110M Hurdles;Summer
1896;Athletics;1500M;Summer
1896;Athletics;400M;Summer
1896;Athletics;800M;Summer
1896;Athletics;Discus Throw;Summer
1896;Athletics;High Jump;Summer
1896;Athletics;Long Jump;Summer
1896;Athletics;Marathon;Summer
1896;Athletics;Pole Vault;Summer
1896;Athletics;Shot Put;Summer
1896;Athletics;Triple Jump;Summer
1896;Cycling Road;Individual Road Race;Summer
1896;Cycling Track;100KM;Summer
1896;Cycling Track;10KM;Summer
1896;Cycling Track;12-Hour Race;Summer
1896;Cycling Track;1KM Time Trial;Summer
1896;Cycling Track;Sprint Indivual;Summer
1896;Fencing;Foil Individual;Summer
1896;Fencing;Foil, Masters;Summer
1896;Fencing;Sabre Individual;Summer
1896;Artistic G.;Horizontal Bar;Summer
1896;Artistic G.;Parallel Bars;Summer
1896;Artistic G.;Pommel Horse;Summer
1896;Artistic G.;Rings;Summer
1896;Artistic G.;Rope Climbing;Summer
1896;Artistic G.;Team, Horizontal Bar;Summer
1896;Artistic G.;Team, Parallel Bars;Summer
1896;Artistic G.;Vault;Summer
1896;Shooting;25M Army Pistol;Summer
1896;Shooting;25M Rapid Fire Pistol (60 Shots);Summer
1896;Shooting;50M Pistol (60 Shots);Summer
1896;Shooting;Army Rifle, 200M;Summer
1896;Shooting;Army Rifle, 300M;Summer
1896;Tennis;Doubles;Summer
1896;Tennis;Singles;Summer
1896;Weightlifting;Heavyweight - One Hand Lift;Summer
1896;Weightlifting;Heavyweight - Two Hand Lift;Summer
1896;Wrestling Gre-R;Open Event;Summer
1900;Swimming;1500M Freestyle;Summer
1900;Swimming;200M Backstroke;Summer
1900;Swimming;200M Freestyle;Summer
1900;Swimming;200M Obstacle Event;Summer
1900;Swimming;200M Team Swimming;Summer
1900;Swimming;4000M Freestyle;Summer
1900;Swimming;Underwater Swimming;Summer
1900;Water polo;Water Polo;Summer
1900;Archery;Au Chapelet, 33M;Summer
1900;Archery;Au Chapelet, 50M;Summer
1900;Archery;Au Cordon Dor??, 33M;Summer
1900;Archery;Au Cordon Dor??, 50M;Summer
1900;Archery;Sur La Perche ?� La Herse;Summer
1900;Archery;Sur La Perche ?� La Pyramide;Summer
1900;Athletics;100M;Summer
1900;Athletics;110M Hurdles;Summer
1900;Athletics;1500M;Summer
1900;Athletics;200M;Summer
1900;Athletics;200M Hurdles;Summer
1900;Athletics;3000M Steeplechase;Summer
1900;Athletics;4000M Steeplechase;Summer
1900;Athletics;400M;Summer
1900;Athletics;400M Hurdles;Summer
1900;Athletics;5000M Team;Summer
1900;Athletics;60M;Summer
1900;Athletics;800M;Summer
1900;Athletics;Discus Throw;Summer
1900;Athletics;Hammer Throw;Summer
1900;Athletics;High Jump;Summer
1900;Athletics;High Jump, Standing;Summer
1900;Athletics;Long Jump;Summer
1900;Athletics;Long Jump, Standing;Summer
1900;Athletics;Marathon;Summer
1900;Athletics;Pole Vault;Summer
1900;Athletics;Shot Put;Summer
1900;Athletics;Triple Jump;Summer
1900;Athletics;Triple Jump, Standing;Summer
1900;Basque Pelota;Cesta Punta;Summer
1900;Cricket;Cricket;Summer
1900;Croquet;Double;Summer
1900;Croquet;Individual 1 Ball;Summer
1900;Croquet;Individual 2 Balls;Summer
1900;Cycling Track;25 Kilometres;Summer
1900;Cycling Track;Sprint Indivual;Summer
1900;Jumping;High Jump;Summer
1900;Jumping;Individual;Summer
1900;Jumping;Long Jump Individual;Summer
1900;Fencing;Épée Individual;Summer
1900;Fencing;Épée, Amateurs And Masters;Summer
1900;Fencing;Épée, Masters;Summer
1900;Fencing;Foil Individual;Summer
1900;Fencing;Foil, Masters;Summer
1900;Fencing;Sabre Individual;Summer
1900;Fencing;Sabre, Masters;Summer
1900;Football;Football;Summer
1900;Golf;Individual;Summer
1900;Artistic G.;Individual All-Round;Summer
1900;Polo;Polo;Summer
1900;Rowing;Eight With Coxswain (8+);Summer
1900;Rowing;Four-Oared Shell With Coxswain (4-);Summer
1900;Rowing;Pair-Oared Shell With Coxswain (2+);Summer
1900;Rowing;Single Sculls (1X);Summer
1900;Rugby;Rugby;Summer
1900;Sailing;0.5-1T;Summer
1900;Sailing;10-20T;Summer
1900;Sailing;3-10T;Summer
1900;Sailing;Open Class;Summer
1900;Shooting;25M Rapid Fire Pistol (60 Shots);Summer
1900;Shooting;50M Army Pistol, Team;Summer
1900;Shooting;50M Pistol (60 Shots);Summer
1900;Shooting;Army Rifle, 300M, 3 Positions;Summer
1900;Shooting;Army Rifle, 300M, Kneeling;Summer
1900;Shooting;Army Rifle, 300M, Prone;Summer
1900;Shooting;Army Rifle, 300M, Standing;Summer
1900;Shooting;Free Rifle, Team;Summer
1900;Shooting;Trap (125 Targets);Summer
1900;Tennis;Doubles;Summer
1900;Tennis;Mixed Doubles;Summer
1900;Tennis;Singles;Summer
1900;Tug of War;Tug Of War;Summer
1904;Diving;10M Platform;Summer
1904;Diving;Plunge For Distance;Summer
1904;Swimming;100M Backstroke;Summer
1904;Swimming;100M Freestyle;Summer
1904;Swimming;1500M Freestyle;Summer
1904;Swimming;200M Freestyle;Summer
1904;Swimming;400M Breaststroke;Summer
1904;Swimming;400M Freestyle;Summer
1904;Swimming;4X50Y Freestyle Relay;Summer
1904;Swimming;50Y Freestyle (45.72M);Summer
1904;Swimming;880Y Freestyle (804.66M);Summer
1904;Archery;Double American Round (60Y - 50Y - 40Y);Summer
1904;Archery;Double Columbia Round (50Y - 40Y - 30Y);Summer
1904;Archery;Double National Round (60Y - 50Y);Summer
1904;Archery;Double York Round (100Y - 80Y - 60Y);Summer
1904;Archery;Team Round 60Y;Summer
1904;Archery;Teams Fita Round;Summer
1904;Athletics;100M;Summer
1904;Athletics;110M Hurdles;Summer
1904;Athletics;1500M;Summer
1904;Athletics;200M;Summer
1904;Athletics;200M Hurdles;Summer
1904;Athletics;3000M Steeplechase;Summer
1904;Athletics;400M;Summer
1904;Athletics;400M Hurdles;Summer
1904;Athletics;4Miles Team;Summer
1904;Athletics;56LB Weight Throw (25.4KG);Summer
1904;Athletics;60M;Summer
1904;Athletics;800M;Summer
1904;Athletics;Decathlon;Summer
1904;Athletics;Discus Throw;Summer
1904;Athletics;Hammer Throw;Summer
1904;Athletics;High Jump;Summer
1904;Athletics;High Jump, Standing;Summer
1904;Athletics;Long Jump;Summer
1904;Athletics;Long Jump, Standing;Summer
1904;Athletics;Marathon;Summer
1904;Athletics;Pole Vault;Summer
1904;Athletics;Shot Put;Summer
1904;Athletics;Triathlon (Long Jump / Shot Put / 100 Yards);Summer
1904;Athletics;Triple Jump;Summer
1904;Athletics;Triple Jump, Standing;Summer
1904;Boxing;- 47.63KG (Flyweight);Summer
1904;Boxing;+ 71.67KG (Heavyweight);Summer
1904;Boxing;47.63 - 52.16KG (Bantamweight);Summer
1904;Boxing;52.16 - 56.7KG (Featherweight);Summer
1904;Boxing;56.7 - 61.24KG (Lightweight);Summer
1904;Boxing;61.24 - 65.77KG (Welterweight);Summer
1904;Boxing;65.77 - 71.67KG (Middleweight);Summer
1904;Cycling Track;1 Mile (1609.3M);Summer
1904;Cycling Track;1/2 Mile (804.7M);Summer
1904;Cycling Track;1/3 Mile (536.5M);Summer
1904;Cycling Track;1/4 Mile (402.3M);Summer
1904;Cycling Track;2 Miles (3.218KM);Summer
1904;Cycling Track;25 Miles (40.232KM);Summer
1904;Cycling Track;5 Miles (8.046KM);Summer
1904;Fencing;Épée Individual;Summer
1904;Fencing;Foil Individual;Summer
1904;Fencing;Foil Team;Summer
